Id,Label,node,system_id,in_degree,out_degree,degree,betweenness,closeness,eigenvector,pagerank,downstream_count,upstream_count,is_articulation,importance_score,risk_label
Route 53,Route 53,Route 53,main_system_01,0,2,2,0.0,0.0,0.0,0.006783802979897,51,0,False,0.4470588235294118,high
CloudFront (web/app CDN),CloudFront (web/app CDN),CloudFront (web/app CDN),main_system_01,1,2,3,0.0017345587017718,0.0163934426229508,0.0,0.0096668945983488,25,1,False,0.2866019602245694,high
CloudFront (video CDN),CloudFront (video CDN),CloudFront (video CDN),main_system_01,1,3,4,0.0116534194403046,0.0163934426229508,0.0,0.0096668945983488,45,1,False,0.5809916430174696,high
AWS WAF,AWS WAF,AWS WAF,main_system_01,1,1,2,0.0074722636198046,0.0218579234972677,0.0,0.0108922650057311,23,2,False,0.313329750969757,high
ALB (web),ALB (web),ALB (web),main_system_01,1,2,3,0.0129367444941215,0.0245901639344262,0.0,0.0160422839406096,22,3,False,0.3918193369268918,high
ALB (API),ALB (API),ALB (API),main_system_01,1,2,3,0.017013578407021,0.0218579234972677,0.0,0.0095227776637864,44,2,False,0.6112234331357437,high
API Gateway (public API),API Gateway (public API),API Gateway (public API),main_system_01,1,10,11,0.0273960920682232,0.0245901639344262,0.0,0.0108309938396185,43,3,False,0.9109418817484172,high
ECS Service (web frontend),ECS Service (web frontend),ECS Service (web frontend),main_system_01,1,6,7,0.0170351051498592,0.0262295081967213,0.0,0.0136018434917761,21,4,False,0.5251963303163115,high
ECS Service (auth service),ECS Service (auth service),ECS Service (auth service),main_system_01,1,6,7,0.0025709278578131,0.0262295081967213,0.0,0.007704442590308,9,4,False,0.2648418069292614,medium
ECS Service (user profile service),ECS Service (user profile service),ECS Service (user profile service),main_system_01,1,4,5,0.0023386874206546,0.0262295081967213,0.0,0.007704442590308,7,4,False,0.1994275681535341,medium
ECS Service (catalog service),ECS Service (catalog service),ECS Service (catalog service),main_system_01,1,5,6,0.0023159187503449,0.0262295081967213,0.0,0.007704442590308,7,4,False,0.2226952994538761,medium
ECS Service (search service),ECS Service (search service),ECS Service (search service),main_system_01,1,3,4,0.0017284870563559,0.0262295081967213,0.0,0.007704442590308,5,4,False,0.1531988454340723,medium
ECS Service (recommendation service),ECS Service (recommendation service),ECS Service (recommendation service),main_system_01,2,8,10,0.0262958823204724,0.0689802001277411,0.0,0.0155032151024268,10,18,True,0.8159442233454424,high
ECS Service (playback session service),ECS Service (playback session service),ECS Service (playback session service),main_system_01,1,8,9,0.0079443340508914,0.0262295081967213,0.0,0.007704442590308,22,4,False,0.4756180043622741,high
ECS Service (streaming control service),ECS Service (streaming control service),ECS Service (streaming control service),main_system_01,0,3,3,0.0,0.0,0.0,0.006783802979897,6,0,False,0.1176470588235294,low
ECS Service (billing service),ECS Service (billing service),ECS Service (billing service),main_system_01,1,3,4,0.0019743886957001,0.0262295081967213,0.0,0.007704442590308,9,4,False,0.1873975434688101,medium
ECS Service (subscription service),ECS Service (subscription service),ECS Service (subscription service),main_system_01,1,3,4,0.0019743886957001,0.0262295081967213,0.0,0.007704442590308,9,4,False,0.1873975434688101,medium
ECS Service (notification service),ECS Service (notification service),ECS Service (notification service),main_system_01,3,2,5,0.0048705635590881,0.0663934426229508,0.0,0.0393861319759385,6,9,False,0.2206832985358954,medium
ECS Service (download service),ECS Service (download service),ECS Service (download service),main_system_01,1,2,3,0.0014754098360655,0.0262295081967213,0.0,0.007704442590308,3,4,False,0.1110745411496028,low
ECS Service (device registry service),ECS Service (device registry service),ECS Service (device registry service),main_system_01,0,2,2,0.0,0.0,0.0,0.006783802979897,3,0,True,0.2705882352941177,high
ECS Service (experiment service),ECS Service (experiment service),ECS Service (experiment service),main_system_01,1,2,3,0.0226775956284153,0.061528635299127,0.0,0.0183497617938823,12,17,False,0.4253396248593643,high
RDS (user accounts DB),RDS (user accounts DB),RDS (user accounts DB),main_system_01,2,2,4,0.0012021857923497,0.0446265938069216,0.0,0.0151149511054083,2,7,False,0.1236206500870402,low
RDS (billing DB),RDS (billing DB),RDS (billing DB),main_system_01,2,2,4,0.001311475409836,0.0368852459016393,0.0,0.0111496365708804,2,6,False,0.1248767163159868,medium
Aurora (catalog DB),Aurora (catalog DB),Aurora (catalog DB),main_system_01,1,2,3,0.0003825136612021,0.0273224043715846,0.0,0.008093553057192,2,5,False,0.0906707416052347,low
DynamoDB (session store),DynamoDB (session store),DynamoDB (session store),main_system_01,4,1,5,0.0004098360655737,0.058287795992714,0.0,0.0132141343910227,1,8,True,0.3302004444369812,high
